client_id,visitor_id,visit_id,process_step,date_time,date,time,client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,client_id,Variation,duration_between_steps,minutes_decimal
5623007,700426174_33289797318,100037962_47432393712_705583,start,2017-04-14 16:41:51,2017-04-14,16:41:51,9302175,10.0,1.0,62.0,unknown,2,28958.04,2,5,5445293,Test,0 days 00:01:25,1.4166666666666667
5623007,700426174_33289797318,100037962_47432393712_705583,start,2017-04-14 16:43:16,2017-04-14,16:43:16,8556380,24.0,10.0,34.0,female,2,31806.14,3,6,2424440,Control,0 days 00:00:39,0.65
5623007,700426174_33289797318,100037962_47432393712_705583,step_1,2017-04-14 16:43:55,2017-04-14,16:43:55,298786,24.0,0.0,18.0,female,2,29578.79,3,6,6569137,Control,0 days 00:00:08,0.13333333333333333
4823947,611052344_43146965242,100057941_88477660212_944512,start,2017-04-09 11:30:10,2017-04-09,11:30:10,2097722,22.0,2.0,34.0,female,2,43516.37,2,5,6576742,Test,0 days 00:00:30,0.5
4823947,611052344_43146965242,100057941_88477660212_944512,step_1,2017-04-09 11:30:40,2017-04-09,11:30:40,9237252,6.0,7.0,54.0,female,2,78212.2,4,7,4862941,Test,0 days 00:01:10,1.1666666666666667
4823947,611052344_43146965242,100057941_88477660212_944512,step_2,2017-04-09 11:31:50,2017-04-09,11:31:50,6251557,26.0,11.0,46.0,female,2,61724.23,4,7,6581703,Control,0 days 00:01:04,1.0666666666666667
4823947,611052344_43146965242,100057941_88477660212_944512,step_3,2017-04-09 11:32:54,2017-04-09,11:32:54,3571114,10.0,5.0,28.0,unknown,2,36888.6,6,9,5625895,Control,0 days 00:00:27,0.45
4823947,611052344_43146965242,100057941_88477660212_944512,step_1,2017-04-09 11:33:21,2017-04-09,11:33:21,7240424,16.0,11.0,42.0,male,2,29446.08,2,5,4852240,Control,0 days 00:00:37,0.6166666666666667
4823947,611052344_43146965242,100057941_88477660212_944512,step_2,2017-04-09 11:33:58,2017-04-09,11:33:58,6934228,18.0,4.0,46.0,female,2,91281.99,3,6,3407812,Test,0 days 00:00:26,0.43333333333333335
8631696,429350107_31978453627,100173292_91322748906_143563,start,2017-04-25 10:28:55,2017-04-25,10:28:55,2182721,30.0,10.0,52.0,male,2,35846.58,7,7,9606695,,0 days 00:00:11,0.18333333333333332
8631696,429350107_31978453627,100173292_91322748906_143563,step_1,2017-04-25 10:29:06,2017-04-25,10:29:06,2317229,26.0,11.0,37.0,female,2,143313.36,4,4,1188784,,0 days 00:00:08,0.13333333333333333
8631696,429350107_31978453627,100173292_91322748906_143563,step_2,2017-04-25 10:29:14,2017-04-25,10:29:14,6574770,16.0,10.0,30.0,female,2,29064.25,1,1,8156103,,0 days 00:00:48,0.8
8631696,429350107_31978453627,100173292_91322748906_143563,step_3,2017-04-25 10:30:02,2017-04-25,10:30:02,1007585,18.0,4.0,26.0,female,2,57808.65,3,3,8068491,,0 days 00:00:28,0.4666666666666667
8050938,126612290_95174242254,100195539_90558871716_822894,start,2017-03-30 10:40:15,2017-03-30,10:40:15,578877,44.0,11.0,20.0,male,3,51881.76,7,7,2346450,,0 days 00:00:20,0.3333333333333333
8050938,126612290_95174242254,100195539_90558871716_822894,step_1,2017-03-30 10:40:35,2017-03-30,10:40:35,8038532,32.0,2.0,45.0,male,2,120375.24,4,4,611891,,0 days 00:05:29,5.483333333333333
8050938,126612290_95174242254,100195539_90558871716_822894,start,2017-03-30 10:46:04,2017-03-30,10:46:04,3607418,64.0,10.0,57.0,unknown,2,29906.69,1,1,2454114,,0 days 00:00:14,0.23333333333333334
9341024,750259984_64435904859,100217156_67053490690_383412,start,2017-04-12 11:51:12,2017-04-12,11:51:12,8360513,20.0,7.0,36.0,female,2,105405.84,1,4,8433097,Test,0 days 00:00:36,0.6
9341024,750259984_64435904859,100217156_67053490690_383412,step_1,2017-04-12 11:51:48,2017-04-12,11:51:48,5014123,12.0,3.0,26.0,unknown,3,223260.81,6,9,6938297,Control,0 days 00:03:00,3.0
9341024,750259984_64435904859,100217156_67053490690_383412,step_1,2017-04-12 11:54:48,2017-04-12,11:54:48,8368455,26.0,4.0,40.0,male,2,949665.19,6,9,472271,Control,0 days 00:02:33,2.55
9341024,750259984_64435904859,100217156_67053490690_383412,step_2,2017-04-12 11:57:21,2017-04-12,11:57:21,4353285,16.0,9.0,40.0,male,2,62360.16,0,4,917269,Control,0 days 00:00:38,0.6333333333333333
9341024,750259984_64435904859,100217156_67053490690_383412,step_3,2017-04-12 11:57:59,2017-04-12,11:57:59,1511438,12.0,2.0,27.0,unknown,2,26859.31,2,5,3610632,Test,0 days 00:05:48,5.8
9341024,750259984_64435904859,100217156_67053490690_383412,step_1,2017-04-12 12:03:47,2017-04-12,12:03:47,6353212,16.0,1.0,24.0,female,2,66894.45,6,9,5644149,Control,0 days 00:00:11,0.18333333333333332
9341024,750259984_64435904859,100217156_67053490690_383412,step_2,2017-04-12 12:03:58,2017-04-12,12:03:58,1294370,12.0,9.0,46.0,unknown,2,60315.99,1,4,656481,Control,0 days 00:01:39,1.65
9341024,750259984_64435904859,100217156_67053490690_383412,step_3,2017-04-12 12:05:37,2017-04-12,12:05:37,2365141,30.0,8.0,46.0,male,2,131271.38,5,8,335950,Control,0 days 00:02:32,2.533333333333333
7760839,111195013_39389847324,10029965_1592382589_593999,start,2017-04-20 12:28:02,2017-04-20,12:28:02,4778757,26.0,7.0,52.0,female,2,87298.47,1,4,9669811,Control,0 days 00:01:07,1.1166666666666667
2930525,56833584_51404408702,100393582_40120493420_784218,start,2017-04-12 17:11:48,2017-04-12,17:11:48,5261517,10.0,11.0,58.0,female,2,257501.32,3,6,3275704,Test,0 days 00:00:10,0.16666666666666666
2930525,56833584_51404408702,100393582_40120493420_784218,step_1,2017-04-12 17:11:58,2017-04-12,17:11:58,6215467,28.0,10.0,58.0,female,2,76404.48,0,3,7405321,Test,0 days 00:00:53,0.8833333333333333
2930525,56833584_51404408702,100393582_40120493420_784218,start,2017-04-12 17:12:51,2017-04-12,17:12:51,2931649,20.0,6.0,40.0,female,2,109968.36,2,5,2530870,Test,0 days 00:00:19,0.31666666666666665
543460,567742582_55124904954,100412222_23957663994_946900,start,2017-04-05 11:30:51,2017-04-05,11:30:51,3961127,44.0,3.0,42.0,unknown,3,198946.33,6,9,4651414,Test,0 days 00:00:08,0.13333333333333333
543460,567742582_55124904954,100412222_23957663994_946900,step_1,2017-04-05 11:30:59,2017-04-05,11:30:59,8966141,10.0,0.0,56.0,unknown,2,605842.99,5,8,3113411,Control,0 days 00:00:59,0.9833333333333333
543460,567742582_55124904954,100412222_23957663994_946900,step_2,2017-04-05 11:31:58,2017-04-05,11:31:58,2427579,32.0,0.0,38.0,female,2,91308.98,2,6,9592984,Test,0 days 00:04:30,4.5
543460,567742582_55124904954,100412222_23957663994_946900,step_3,2017-04-05 11:36:28,2017-04-05,11:36:28,8489443,14.0,9.0,37.0,unknown,2,60253.16,1,4,146205,Control,0 days 00:02:09,2.15
6235268,576826051_41603257498,100481857_71511233596_788753,start,2017-04-25 18:15:48,2017-04-25,18:15:48,8608072,30.0,10.0,65.0,male,2,23928.64,2,3,5088628,,0 days 00:00:27,0.45
6235268,576826051_41603257498,100481857_71511233596_788753,step_1,2017-04-25 18:16:15,2017-04-25,18:16:15,3254425,38.0,0.0,60.0,male,2,108321.49,7,7,5117428,,0 days 00:00:11,0.18333333333333332
6235268,576826051_41603257498,100481857_71511233596_788753,step_2,2017-04-25 18:16:26,2017-04-25,18:16:26,7241868,56.0,2.0,66.0,female,3,170349.77000000002,7,7,9591749,,0 days 00:01:16,1.2666666666666666
6235268,576826051_41603257498,100481857_71511233596_788753,step_3,2017-04-25 18:17:42,2017-04-25,18:17:42,1967703,14.0,0.0,52.0,unknown,2,22277.16,3,4,9590789,,0 days 00:07:07,7.116666666666666
6235268,576826051_41603257498,100481857_71511233596_788753,step_2,2017-04-25 18:24:49,2017-04-25,18:24:49,9277235,24.0,8.0,32.0,male,2,14705.469999999998,1,1,5830774,,0 days 00:00:09,0.15
6235268,576826051_41603257498,100481857_71511233596_788753,step_3,2017-04-25 18:24:58,2017-04-25,18:24:58,9624402,30.0,11.0,61.0,male,2,24553.84,3,3,5986141,,0 days 00:03:46,3.7666666666666666
2301536,645448333_48660080107,100524954_75571477869_827571,start,2017-03-29 20:12:04,2017-03-29,20:12:04,1516,24.0,6.0,58.0,female,2,25408.39,5,8,5115258,Test,0 days 00:01:16,1.2666666666666666
2301536,645448333_48660080107,100524954_75571477869_827571,start,2017-03-29 20:13:20,2017-03-29,20:13:20,2359427,34.0,6.0,49.0,male,2,225183.54,4,7,9640247,Test,0 days 00:01:06,1.1
2301536,645448333_48660080107,100524954_75571477869_827571,start,2017-03-29 20:14:26,2017-03-29,20:14:26,5479458,34.0,10.0,61.0,male,3,187210.09000000003,4,7,9227906,Test,0 days 00:00:50,0.8333333333333334
