client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
836976,12,1,60,unknown,2,45105.3,6,9
2304905,14,10,58,unknown,2,110860.3,6,9
1439522,10,4,32,unknown,2,52467.78999999999,6,9
1562045,32,6,49,male,2,67454.65,3,6
5126305,24,1,33,female,2,103671.75,0,3
3727881,10,11,30,unknown,2,23915.6,0,3
272934,10,6,58,unknown,2,27021.42,2,5
388801,60,1,58,male,5,522498.72,1,4
285619,60,9,68,male,2,299388.72,3,6
8198645,30,9,54,female,2,382303.83,6,9
8368822,16,4,34,unknown,2,75578.54000000001,0,3
2537139,16,3,52,unknown,2,135940.68,6,9
2208717,10,7,33,unknown,2,29782.96,6,9
2214073,32,1,62,male,3,136818.03,6,9
2368987,10,11,54,unknown,2,44408.87,2,5
2892152,8,10,36,unknown,2,46815.48,5,8
4536541,6,11,74,unknown,2,47804.5,1,4
3788589,20,2,32,male,2,30750.76,0,3
719792,22,4,31,female,2,111736.78,5,8
5904035,16,5,26,unknown,2,27848.76,3,6
1502049,16,4,31,unknown,2,28952.15,0,3
6590646,16,7,42,female,3,2768726.87,5,8
7585111,10,10,42,unknown,3,36621.41,1,4
3638336,24,8,30,male,3,54296.67,3,6
9520009,26,4,30,male,2,61062.57,6,9
1508759,12,8,58,unknown,2,66514.85,4,7
9381346,14,4,62,unknown,2,272252.76,0,3
7035604,14,2,30,unknown,2,28175.92,1,4
3055315,10,5,34,female,2,66560.69,1,5
3350906,10,8,55,unknown,2,88627.18,2,5
2109862,14,9,38,unknown,2,35917.29,2,5
1549737,14,10,68,unknown,2,35608.94,1,4
7474517,12,1,52,unknown,2,53993.47,4,7
6448014,14,1,58,unknown,2,82787.45999999999,6,9
6651826,16,7,34,unknown,2,44696.97,0,3
2305285,28,0,54,male,2,132347.89,6,9
5889920,22,10,33,male,2,106249.03,1,4
3065089,38,0,63,male,2,439723.43,6,9
313570,36,7,48,female,2,75124.07,2,5
9721424,24,8,32,female,2,29667.6,0,3
3753796,50,5,66,female,2,214661.75,6,9
6647577,46,10,68,female,3,86005.57,2,5
6341488,46,9,65,female,2,116534.46,5,8
838619,46,4,60,female,2,131309.81,0,3
2000151,42,2,38,female,2,136515.53999999998,6,9
6579978,42,1,74,male,2,71192.58,1,4
8475126,46,2,51,male,3,327091.02,3,6
7419744,36,5,49,unknown,2,162233.71000000002,0,3
9796602,36,0,46,female,2,25827.39,0,3
1329260,34,8,64,female,2,666138.27,5,8
4821014,34,0,62,male,2,45073.26,1,4
7906602,42,8,54,female,2,39725.28,2,5
2671231,10,8,23,unknown,2,43062.3,1,4
9587439,10,6,26,unknown,2,28875.65,6,9
5542798,18,8,56,male,2,79888.68,5,8
5977906,20,10,76,female,2,82916.93,3,6
7928244,28,9,33,female,2,105416.69,6,9
4906392,26,3,28,female,2,52600.87,2,5
3939684,30,10,60,female,2,48166.13,1,4
3731320,14,5,40,unknown,2,34487.99,6,9
9055726,10,10,25,unknown,3,33261.64,6,9
5808972,10,6,23,unknown,2,29898.98,0,3
7414763,14,7,27,unknown,2,53219.65,6,9
1531616,20,9,60,male,2,100777.88,6,9
8387066,54,5,66,male,2,406190.96,6,9
3402999,14,8,39,unknown,2,56527.9,0,3
8593187,28,0,56,male,3,207559.95,6,9
5908339,30,10,40,female,2,205785.55,5,8
4442018,12,10,33,unknown,2,65264.87,6,9
5727622,12,1,52,unknown,3,109130.47,4,7
3284361,24,8,32,female,2,28085.99,1,4
6666515,28,1,38,unknown,2,59526.37,2,5
9150149,10,6,44,unknown,2,104179.39,2,5
7176877,10,6,35,unknown,2,75279.47,2,5
410752,22,10,19,male,2,25640.01,2,5
3979917,38,11,63,male,2,374919.6,4,7
7759130,10,9,64,unknown,2,78278.56,6,9
5587497,14,7,64,unknown,2,410277.5,5,8
4264493,10,7,22,unknown,3,36298.01,6,9
9492169,8,10,42,unknown,2,98181.16,0,3
5816825,28,10,54,female,2,32873.33,3,6
9692048,22,10,38,male,2,87935.1,4,7
9250552,14,11,34,unknown,2,77674.34,2,5
1730954,10,3,36,female,2,58456.9,0,3
2264903,30,7,61,male,2,63368.8,2,5
7321667,14,11,40,unknown,2,68761.48999999999,6,9
1460648,48,0,40,female,5,121700.66,5,8
2942135,42,9,68,unknown,3,417847.47,6,9
1459001,40,11,72,male,3,166623.2,1,4
6398341,40,10,34,female,3,109127.33,6,9
5531076,38,0,44,male,2,67727.62,2,5
3162487,16,5,40,unknown,2,259691.04,0,3
2570380,8,8,52,unknown,2,51670.67999999999,2,5
5449775,8,8,28,unknown,2,46749.74,2,5
8415669,28,10,60,male,2,43793.82,0,3
6810931,10,0,23,unknown,2,45780.6,5,8
8096768,20,3,60,female,2,91761.22,0,3
6737425,30,10,60,male,2,83778.79000000001,5,8
7949341,28,7,48,unknown,2,25253.27,0,3
7458635,14,10,26,unknown,3,158434.49,6,9
3322068,30,8,45,female,2,140687.41,6,9
1643775,8,11,18,unknown,2,25270.36,1,4
934609,28,1,54,female,2,136573.63,1,4
2408879,8,10,49,unknown,2,208004.65,5,8
1596507,56,0,78,female,3,175883.31,6,9
8763719,24,5,40,male,3,98540.5,6,9
7702214,12,1,32,unknown,2,43988.28,6,9
200698,26,0,32,male,2,28559.28,2,5
7449147,54,6,26,female,2,215247.66,3,6
2096514,28,7,60,female,2,84419.06,1,4
5474775,28,7,40,female,2,95855.61,0,3
6226205,24,11,68,female,2,45294.1,4,7
2069824,26,11,50,female,2,52157.46,6,9
7045562,15,0,34,unknown,3,73644.53,1,4
8501949,14,9,27,unknown,2,76834.13,5,8
5376149,40,2,56,male,2,858054.38,6,9
148954,26,7,60,female,2,89263.33,3,6
7803610,14,7,29,unknown,2,66958.67,6,9
7772844,8,11,38,unknown,3,43012.02,0,3
4681026,12,9,57,unknown,2,99729.87,6,9
9242446,30,2,70,male,2,56986.04,3,6
1905822,22,2,28,female,2,49186.49,2,5
5586955,12,8,32,unknown,2,30493.38,0,3
6980695,8,8,74,unknown,2,143304.76,5,8
3097635,18,5,22,male,2,27215.69,0,3
2559930,28,4,50,female,2,26430.43,5,8
2693746,28,4,52,male,2,35206.61,0,3
9073948,14,1,58,unknown,2,175468.15000000002,6,9
9897542,12,10,23,unknown,2,66806.76999999999,2,5
6652996,20,0,50,female,2,48410.62,1,4
5601417,16,9,55,female,2,23799.36,0,3
4560228,12,1,53,male,2,98419.63,1,4
1592329,34,8,28,unknown,2,27189.73,0,3
5115750,44,7,62,female,4,351838.75,1,4
7885704,40,4,66,female,2,34564.77,0,3
2876901,8,10,54,unknown,2,47348.42999999999,0,3
2365190,10,6,30,unknown,3,30376.22,3,6
4516383,16,3,45,unknown,2,91159.68,6,9
730546,32,8,52,female,2,33972.98,3,6
1860982,14,10,52,unknown,2,98988.68,0,3
1945276,32,1,50,male,2,91623.79,1,4
1525212,26,1,33,female,2,72424.95999999999,6,9
7139038,12,6,39,unknown,2,31918.65,3,6
3678422,34,0,33,male,3,339660.53,6,9
121354,10,0,30,unknown,2,35592.44,5,8
7597197,24,7,33,female,2,60175.34,2,5
8806527,20,1,28,unknown,2,55742.17999999999,5,8
4561742,30,4,44,male,3,240993.69,3,6
8011247,10,0,60,male,2,31921.91,6,9
6689398,54,11,68,male,2,89224.4,3,6
5416822,28,0,39,male,2,40549.95,1,4
3093790,58,9,70,female,2,107604.36,3,6
9625688,18,3,36,male,2,91643.57,2,5
7280817,30,5,54,male,2,192518.99,6,9
6055529,12,4,28,unknown,2,48601.07,2,5
6679780,10,8,72,female,2,36978.84,3,6
2668008,12,1,34,unknown,2,38654.73,3,6
9247669,12,9,38,unknown,3,414323.08,6,9
7704754,24,4,26,male,2,31514.34,5,8
3455403,16,3,55,male,2,73520.62,4,7
3930919,20,9,35,male,2,64113.1,0,3
2615801,10,0,27,unknown,3,72480.08,5,8
4110312,16,1,66,unknown,2,36933.26,4,7
7794321,24,8,28,male,2,37879.82,3,6
